Quarter,Gross domestic product,Personal consumption expenditures,Goods,Durable goods,Nondurable goods,Services,Gross private domestic investment,Fixed investment,Nonresidential,Structures,Equipment,Intellectual Property Products,Residential,Change in private inventories,Net exports of goods and services,Exports,Goods,Services,Imports,Goods,Services,Government consumption expenditures and gross investment,Federal,National defense,Nondefense,State and local
2015-09-30,0.0067601891289906,0.0110971181839,0.010683492119353,0.010705669481303,0.01063428614526,0.011308816755957,-0.011072549991737,0.011007971289555,0.0077897210496541,-0.0067487098054784,0.013338343039639,0.009594298245614,0.023333333333333,-0.5121568627451,0.0075101097631429,-0.0064035087719298,-0.01419732985998,0.0098052384150436,-0.0038223841674705,-0.0070437845123702,0.010810810810811,0.0071087065928537,0.0030310477594823,-0.0024321037697609,0.011444028297961,0.0097528594771241
2015-06-30,0.014980764109625,0.014342001576044,0.019633474304755,0.018896911968044,0.020040773935454,0.011810299365948,0.0098801695650722,0.010214041692812,0.0075415442627265,0.0090126176647306,0.0010343206393981,0.016439119531903,0.020408163265306,0.0015710919088767,-0.058556925308194,0.010056261905817,0.011861614497529,0.0063530683968641,-0.0034177079995728,-0.0051044685729116,0.004625905068383,0.0094300682648039,0.0020522081759974,0.0014884979702301,0.0029215358931553,0.014031999171543
2015-03-31,0.0018960143960852,-0.0004891637786658,-0.019748247531469,-0.0013041810510165,-0.028730478965852,0.0089837031170727,0.019985019746698,0.0069856425738056,0.0029022470427861,-0.0248046875,0.0080568720379147,0.014988687782805,0.023320570831883,0.43841807909605,0.011738811445341,-0.039242391998297,-0.061243427157439,0.0094146541137945,-0.029606854142196,-0.036791666666667,0.0052567731500201,-0.0041106719367589,0.0028813698855685,0.0010837171498238,0.0056663168940189,-0.0084710955950303
2014-12-31,0.0053532396231047,0.0093981973537755,-0.0018307669157848,0.0064859856381747,-0.0057945174949855,0.015021917429695,0.0092777128719676,0.0095329222482102,0.0031318923687693,0.013058963197467,-0.0096686379423636,0.015654172052276,0.035688536409517,0.0022650056625142,0.059463661095997,-0.0047021943573667,-0.015469882453255,0.019757896201475,0.0067473567056205,0.003050946629331,0.025077720207254,-0.0046893686662051,-0.01492174195118,-0.028044766293614,0.0061233108108108,0.0018001337242195
2014-09-30,0.014597568037058,0.011521205451621,0.0090851575351133,0.012508795246658,0.0074090704984283,0.012745659225339,0.024141328828829,0.025102626512152,0.025003391056653,-0.00059323709709316,0.041145426114152,0.019771528998243,0.025697910889259,-0.0067491563554557,-0.030702580523639,0.0018674136321196,0.0085380835380836,-0.013045866520187,-0.0040872878420506,-0.0046176886596224,-0.0016552865714877,0.0098846263865493,0.013312515408004,0.014831640833779,0.011101622544834,0.0077226080646832
2014-06-30,0.016821417426682,0.014836387378332,0.019820889359176,0.02895985841847,0.015503875968992,0.01234933553106,0.032895932536076,0.016356520454881,0.01365782116504,0.0015844721727075,0.019631290483308,0.013657957244655,0.027545592705167,1.0819672131148,0.0028333962976955,0.02376710840756,0.026805424156418,0.017039106145251,0.019853045075597,0.019596199524941,0.021128248468202,0.007686641258047,0.0017286796180442,0.0021424745581147,0.00085470085470081,0.011480996068152
2014-03-31,0.0015745152615937,0.0072164680840017,0.0025615814531152,0.00024139040875439,0.0036613272311212,0.0095552579919658,0.0004363795047092,0.020689655172414,0.022206605762474,0.047945205479452,0.010777598710717,0.020606060606061,0.014258188824663,-0.55705394190871,0.1402110704286,-0.0098946009894601,-0.016317160938082,0.0044893378226712,0.015060240963855,0.020694432418391,-0.011899791231733,0.0023113222689481,-0.0022996057818659,-0.011384696849351,0.012548680225011,0.005270092226614
2013-12-31,0.01375579136153,0.012191597256891,0.0054110301768991,0.0042828282828282,0.0059466717820833,0.015633045935276,0.014161903005716,0.018227168073676,0.023299295268229,0.015598650927487,0.034921296778901,0.011959521619135,-0.0019230769230769,-0.087121212121212,-0.093871975019516,0.026586583049949,0.032675550999487,0.013219616204691,0.0043576907840243,0.001517582274639,0.018065887353879,0.00141447262674,-0.0022943297279582,-0.0050052687038989,0.0023855996530036,0.0038089192191716
2013-09-30,0.012143911707046,0.0083813191083479,0.0087914971788479,0.0015377144707026,0.012272321255194,0.0081732625161401,0.034765684628301,0.013337481043668,0.010316768381285,0.045164133068958,-0.0089876033057852,0.014781391006691,0.025438769473477,1.1683778234086,-0.029177718832891,0.011932427601001,0.012651657691559,0.010340370529944,0.0040862081434873,0.0040050498454574,0.00491243058522,-0.00022497910908282,-0.011181332036947,-0.016962320341836,-0.0017319766183156,0.0069784785851267
2013-06-30,0.0052370032906141,0.0045245657304069,-0.0044935601013663,0.000161890885543,-0.006712186089573,0.0091616179256055,0.016328588604895,0.011763317334172,0.0060913210857171,0.035828388863533,-0.0011350737797957,-0.0032568238213398,0.035743464052288,0.33424657534247,-0.0026455026455028,0.0049402676726848,0.0075173225258204,-0.00057413520884181,0.0034835619420857,0.0011767782426777,0.014737754659731,-0.0026924802871979,-0.012955854126679,-0.014672110232202,-0.010072867552508,0.0041724617524339
2013-03-31,0.0087990035159199,0.0096289064249438,0.012619047619048,0.018550581251546,0.0098165244828796,0.0080982625299622,0.022607385079126,0.015541971313277,0.010289484048838,-0.012618296529969,0.014551926298157,0.019769096947651,0.037947848208607,0.98369565217391,-0.0048890560361036,0.0056910569105691,0.0030159979019144,0.011469221835076,0.0036419258503897,0.0042895911756982,0.0002167786689789,-0.0075393669476697,-0.022284775979357,-0.025851354710415,-0.016234450769555,0.0025742786656657
