Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2015-10-31,2071.18,,,237.7595,2.09,2071.18,,,26.187839969625
2015-09-30,1945.41,42.51,,237.945,2.17,1943.893374078,42.476859547374,,24.57705100102
2015-08-31,2039.87,42.253333333333,,238.316,2.17,2035.1066284471,42.154666101591,,25.729733423304
2015-07-31,2094.14,41.996666666667,,238.654,2.32,2086.2909455949,41.839258794461,,26.378794062195
2015-06-30,2099.29,41.74,94.91,238.638,2.36,2091.5618667396,41.58634220032,94.560607049171,26.493196696894
2015-05-31,2111.94,41.43,96.356666666667,237.805,2.2,2111.5359156872,41.422073064065,96.338230433899,26.803028587263
2015-04-30,2094.86,41.12,97.803333333333,236.599,1.94,2105.1351280859,41.321690455158,98.283051203372,26.787935844185
2015-03-31,2079.99,40.81,99.25,236.119,2.04,2094.441287677,41.093538406481,99.939565960384,26.724818701503
2015-02-28,2082.2,40.353333333333,100.27,234.722,1.98,2109.1454184099,40.87553938986,101.56757809238,26.991439989074
2015-01-31,2028.18,39.896666666667,101.29,233.707,1.88,2063.3488201466,40.588478386755,103.04637753683,26.488167327905
2014-12-31,2054.27,39.44,102.31,234.812,2.21,2080.0564198806,39.935074357358,103.59425602184,26.789896722991
2014-11-30,2044.57,39.123333333333,103.52666666667,236.151,2.33,2058.4962202786,39.389814871276,104.23181990901,26.602643476097
2014-10-31,1937.27,38.806666666667,104.74333333333,237.433,2.3,1939.9339879671,38.86003067532,104.88736848571,25.158787223323
2014-09-30,1993.23,38.49,105.96,238.031,2.53,1990.9565064424,38.446098008243,105.8391412043,25.914342044548
2014-08-31,1961.53,38.12,105.01333333333,237.852,2.42,1960.7671662841,38.10517523502,104.9724939318,25.613544488606
2014-07-31,1973.1,37.75,104.06666666667,238.25,2.54,1969.0378570829,37.672281741868,103.85241818818,25.813437721937
2014-06-30,1947.09,37.38,103.12,238.343,2.6,1942.3232268411,37.288488061323,102.86754651909,25.553926180856
2014-05-31,1889.77,36.996666666667,102.36333333333,237.9,2.56,1888.6539315469,36.974817016954,102.30287915791,24.939276177118
2014-04-30,1864.26,36.613333333333,101.60666666667,237.072,2.71,1869.6662847996,36.71951064093,101.90132222841,24.782327531127
2014-03-31,1863.52,36.23,100.85,236.293,2.72,1875.0855228043,36.454853444664,101.47590311605,24.952008173876
2014-02-28,1817.04,35.816666666667,100.63333333333,234.781,2.71,1840.0914975232,36.271047309336,101.90999704689,24.586942551907
2014-01-31,1822.36,35.403333333333,100.41666666667,233.916,2.86,1852.3034013065,35.985049469325,102.06662416565,24.855560014215
2013-12-31,1807.78,34.99,100.2,233.049,2.9,1844.3197306575,35.697234937717,102.22529124776,24.857801952868
2013-11-30,1783.54,34.793333333333,98.256666666667,233.069,2.72,1819.4336382359,35.49354713268,100.23407633934,24.638026695485
2013-10-31,1720.03,34.596666666667,96.313333333333,233.546,2.62,1751.0617727771,35.220839442051,98.050962023185,23.830800591164
2013-09-30,1687.17,34.4,94.37,234.149,2.81,1713.1856023942,34.930436602334,95.825154132625,23.438394261285
2013-08-31,1670.09,34.023333333333,93.23,233.877,2.74,1697.8145065782,34.588141295068,94.777674525498,23.352749595228
2013-07-31,1668.68,33.646666666667,92.09,233.596,2.58,1698.421730081,34.246368274,93.731366782822,23.488516611072
2013-06-30,1618.77,33.27,90.95,233.504,2.3,1648.2713179003,33.876330020042,92.607520749109,22.921463451009
2013-05-31,1639.84,32.883333333333,89.866666666667,232.945,1.93,1673.7321620125,33.56296504182,91.724028132535,23.40786746909
2013-04-30,1570.7,32.496666666667,88.783333333333,232.531,1.76,1606.0174628329,33.22735987173,90.779642033392,22.591797273426
2013-03-31,1550.83,32.11,87.7,232.773,1.96,1584.0521253968,32.797865495569,89.578723262578,22.415356349748
2013-02-28,1512.31,31.823333333333,87.303333333333,232.166,1.98,1548.7455934331,32.590042562936,89.406704175748,22.04891350375
2013-01-31,1480.4,31.536666666667,86.906666666667,230.28,1.91,1528.4834280007,32.560978366916,89.729397313416,21.896667199366
2012-12-31,1422.29,31.25,86.51,229.601,1.72,1472.8287736334,32.360418181977,89.583992861529,21.234544416672
2012-11-30,1394.51,30.696666666667,86.506666666667,230.221,1.65,1440.1727051181,31.701817463799,89.339294909384,20.894150539279
2012-10-31,1437.82,30.143333333333,86.503333333333,231.317,1.75,1477.8652856902,30.982867068424,88.912571413544,21.57225404805
2012-09-30,1443.42,29.59,86.5,231.407,1.72,1483.0442358701,30.402293815658,88.874566240434,21.777708318923
2012-08-31,1403.45,29.166666666667,86.973333333333,230.379,1.68,1448.4114015383,30.101059920103,89.759640621179,21.40381791302
2012-07-31,1359.78,28.743333333333,87.446666666667,229.104,1.53,1411.1521968626,29.829250304083,90.750382984729,20.992470715389
2012-06-30,1323.48,28.32,87.92,229.478,1.62,1371.2423110712,29.342024246333,91.09289448226,20.540734553345
2012-05-31,1341.27,27.996666666667,88.126666666667,229.815,1.8,1387.6365100842,28.964486514515,91.173127094982,20.934518900266
2012-04-30,1386.43,27.673333333333,88.333333333333,230.085,2.05,1432.6744619814,28.596379149735,91.279697358223,21.771967585004
2012-03-31,1389.24,27.35,88.54,229.392,2.17,1439.915113779,28.347642136605,91.769661234917,22.046517420078
2012-02-29,1352.49,27.043333333333,88.01,227.663,1.97,1412.4708281759,28.24266311024,91.913106631293,21.790040219931
2012-01-31,1300.58,26.736666666667,87.48,226.665,1.97,1364.2390775373,28.045337826013,91.761855866587,21.205755997644
2011-12-31,1243.32,26.43,86.95,225.672,1.98,1309.9150162182,27.845650257896,91.607237605906,20.51650563317
2011-11-30,1226.42,26.013333333333,86.96,226.23,2.01,1288.9228041816,27.339066996714,91.391796490298,20.338186123412
2011-10-31,1207.22,25.596666666667,86.97,226.421,2.15,1267.6740390246,26.878472704976,91.325202675547,20.14877883583
2011-09-30,1173.88,25.18,86.98,226.889,1.98,1230.121873956,26.386401323995,91.147306876931,19.691179573871
2011-08-31,1185.31,24.9,85.943333333333,226.545,2.3,1243.9855787813,26.132607428988,90.197726551752,20.042747935553
2011-07-31,1325.19,24.62,84.906666666667,225.922,3.0,1394.6251883615,25.90999942458,89.355470531127,22.60292189865
2011-06-30,1287.29,24.34,83.87,225.722,3.0,1355.9397256581,25.638024782697,88.342692626328,22.092911397927
2011-05-31,1338.31,24.036666666667,83.016666666667,225.964,3.17,1408.1708433423,25.291399728865,87.350202502759,23.051189450821
2011-04-30,1331.51,23.733333333333,82.163333333333,224.906,3.46,1407.6065193681,25.089706218005,86.859012439271,23.135563140144
2011-03-31,1304.49,23.43,81.31,223.467,3.41,1387.9225574917,24.928535689833,86.510424111838,22.89102987605
2011-02-28,1321.12,23.196666666667,79.99,221.309,3.58,1419.3224434614,24.92093800222,85.935874297927,23.481281609332
2011-01-31,1282.62,22.963333333333,78.67,220.223,3.39,1384.7558606049,24.791918426625,84.934543008678,22.96991638186
2010-12-31,1241.53,22.73,77.35,219.179,3.29,1346.778441525,24.656894296443,83.907205183891,22.388191381896
2010-11-30,1198.89,22.606666666667,75.52,218.803,2.76,1302.7585862854,24.565247109653,82.062848498421,21.692776459844
2010-10-31,1171.58,22.483333333333,73.69,218.711,2.54,1273.6180393762,24.441505418871,80.107985217936,21.232339871656
2010-09-30,1122.08,22.36,71.86,218.439,2.65,1221.3257694826,24.337698030114,78.215875690696,20.373917416187
2010-08-31,1087.28,22.253333333333,70.273333333333,218.312,2.7,1184.1362323647,24.235687487022,76.533367825253,19.763042071667
2010-07-31,1079.8,22.146666666667,68.686666666667,218.011,3.01,1177.6135520685,24.152819781265,74.908640038041,19.661438010325
2010-06-30,1083.36,22.04,67.1,217.965,3.2,1181.7453807721,24.041563462024,73.193689124401,19.734788843859
2010-05-31,1125.06,21.996666666667,65.043333333333,218.178,3.42,1226.0342613371,23.970869970086,70.880979803952,20.472560404918
2010-04-30,1197.32,21.953333333333,62.986666666667,218.009,3.85,1305.7910661486,23.942193013438,68.692936407824,21.796882493047
2010-03-31,1152.05,21.91,60.93,217.631,3.73,1258.6020924179,23.936436651948,66.565362172668,20.99697536253
2010-02-28,1089.16,22.076666666667,57.61,216.741,3.69,1194.7814996701,24.217555646294,63.196740787391,19.913339731236
2010-01-31,1123.58,22.243333333333,54.29,216.687,3.73,1232.8465436782,24.406465600921,59.569624642918,20.520463958329
2009-12-31,1110.38,22.41,50.97,215.949,3.59,1222.5265854901,24.673373782699,56.117887626245,20.315066787662
2009-11-30,1088.07,22.906666666667,38.16,216.33,3.4,1195.8534607544,25.175785204703,41.940103175704,19.805658400991
2009-10-31,1067.66,23.403333333333,25.35,216.177,3.39,1174.2521534206,25.739855912825,27.880872271333,19.351103328651
2009-09-30,1044.55,23.9,12.54,215.969,3.4,1149.9413606814,26.311424556302,13.805241168871,18.825229210929
2009-08-31,1009.73,24.463333333333,10.863333333333,215.834,3.59,1112.3034365994,26.948441402498,11.966885206532,18.087700934059
2009-07-31,935.82,25.026666666667,9.1866666666667,215.351,3.56,1033.1974092992,27.630834095655,10.14259173783,16.688783896124
2009-06-30,926.12,25.59,7.51,215.693,3.72,1020.8668252563,28.20798822864,8.2783115121956,16.378493035898
2009-05-31,902.41,26.143333333333,7.2933333333333,213.856,3.29,1003.2758042561,29.065473316936,8.108536990623,15.990837042672
2009-04-30,848.15,26.696666666667,7.0766666666667,213.24,2.93,945.6749199259,29.7663952276,7.8903804555118,14.976730666865
2009-03-31,757.13,27.25,6.86,212.709,2.82,846.2963496373,30.459201890846,7.6678944943561,13.319128836367
2009-02-28,805.23,27.63,9.5333333333333,212.193,2.87,902.24975463375,30.959056071595,10.681976156926,14.117398854855
2009-01-31,865.58,28.01,12.206666666667,211.143,2.52,974.69424991593,31.540915848501,13.745428280044,15.169539963204
2008-12-31,877.56,28.39,14.88,210.228,2.42,992.48542924824,32.107959953003,16.828687710486,15.370926237099
2008-11-30,883.04,28.543333333333,25.236666666667,212.425,3.53,988.35423740144,31.947504585932,28.246474041819,15.254561429526
2008-10-31,968.8,28.696666666667,35.593333333333,216.573,3.81,1063.5739616665,31.503950715617,39.075291641463,16.381893046157
2008-09-30,1216.95,28.85,45.95,218.783,3.69,1322.5041412038,31.352351759506,49.935548123026,20.355949782987
2008-08-31,1281.47,28.803333333333,47.756666666667,219.086,3.89,1390.6943687182,31.258346638611,51.827141799719,21.394490754584
2008-07-31,1257.33,28.756666666667,49.563333333333,219.964,4.01,1359.050354308,31.083134914501,53.573099923927,20.900246967427
2008-06-30,1341.25,28.71,51.37,218.815,4.1,1457.3723436465,31.195645842378,55.817496583872,22.409351777208
2008-05-31,1403.22,28.573333333333,54.376666666667,216.632,3.88,1540.072037326,31.360008893731,59.679867601893,23.688542677436
2008-04-30,1370.47,28.436666666667,57.383333333333,214.823,3.68,1516.7941140613,31.472829484428,63.51011130869,23.348258612379
2008-03-31,1316.94,28.3,60.39,213.528,3.51,1466.3884639485,31.511529401296,67.243154082837,22.599269467376
2008-02-29,1354.87,28.11,62.32,211.693,3.74,1521.6998850458,31.571282682942,69.993679715437,23.487413714233
2008-01-31,1378.76,27.92,64.25,211.08,3.74,1553.0286536858,31.44895414061,72.370891960394,24.014277487239
2007-12-31,1479.22,27.73,66.18,210.036,4.1,1674.4682225428,31.390194704717,74.91536550877,25.946804431227
2007-11-30,1463.39,27.476666666667,70.32,210.177,4.15,1655.4374394201,31.082556741857,79.548418904067,25.720400819964
2007-10-31,1539.66,27.223333333333,74.46,208.936,4.53,1752.0618360168,30.978893640477,84.732034546464,27.31142980857
2007-09-30,1497.12,26.97,78.6,208.49,4.52,1707.297724783,30.756265120629,89.634499016739,26.71669053691
2007-08-31,1454.62,26.703333333333,80.706666666667,207.917,4.67,1663.4028188652,30.536084984232,92.290561682466,26.139712765837
2007-07-31,1520.71,26.436666666667,82.813333333333,208.299,5.0,1735.7896545111,30.175702467767,94.525930161291,27.400722446244
2007-06-30,1514.19,26.17,84.92,208.352,5.1,1727.9078545202,29.863721562548,96.905893583935,27.408848700991
2007-05-31,1511.14,25.943333333333,84.33,207.949,4.75,1727.7692647236,29.662436278446,96.419115432149,27.538986026331
2007-04-30,1463.64,25.716666666667,83.74,206.686,4.69,1683.68595154,29.582950990069,96.329603988659,26.966916024923
2007-03-31,1406.95,25.49,83.15,205.352,4.56,1628.986951795,29.512688724726,96.272266279364,26.218468331768
2007-02-28,1444.8,25.286666666667,82.603333333333,203.499,4.72,1688.0423274807,29.543856349826,96.510190377676,27.305617434335
2007-01-31,1424.16,25.083333333333,82.056666666667,202.416,4.76,1672.8300604695,29.463089833149,96.384436202342,27.197961638351
2006-12-31,1416.42,24.88,81.51,201.8,4.56,1668.8172001487,29.313460654113,96.034573067393,27.273038665477
2006-11-30,1388.64,24.62,80.53,201.5,4.6,1638.5228391067,29.05031707196,95.021203647643,26.918444632127
2006-10-31,1363.38,24.36,79.55,201.8,4.73,1606.3258033201,28.700799900892,93.725313305253,26.528553593418
2006-09-30,1317.74,24.1,78.57,202.9,4.72,1544.1360449975,28.240532035485,92.068821660917,25.634941319666
2006-08-31,1287.15,23.88,77.21,203.9,4.88,1500.8932831045,27.845497106425,90.031441858754,25.042346179447
2006-07-31,1260.24,23.66,75.85,203.5,5.09,1472.403107027,27.643192972973,88.61945,24.687823581117
2006-06-30,1253.17,23.44,74.49,202.9,5.11,1468.472511656,27.467139871858,87.287851922129,24.740556614649
2006-05-31,1290.01,23.223333333333,73.883333333333,202.5,5.11,1514.627815284,27.267003069959,86.747972304527,25.641241372205
2006-04-30,1302.17,23.006666666667,73.276666666667,201.5,4.99,1536.4927449876,27.146667808106,86.46264827957,26.137653112547
2006-03-31,1293.74,22.79,72.67,199.8,4.72,1539.5344120621,27.11981483984,86.476390715716,26.318095823641
2006-02-28,1276.65,22.6,71.756666666667,198.7,4.57,1527.6077789381,27.042600402617,85.862250570374,26.240014827084
2006-01-31,1278.73,22.41,70.843333333333,198.3,4.42,1533.1830833838,26.869341376702,84.940370709363,26.459271319196
